id;miejsce;id_zawodnika;wynik_I_serii;wynik_II_serii;nota;id_zawodow
1917;3;63;117,00;123,00;248,40;67
1918;4;111;117,50;121,50;247,10;67
1919;5;77;114,50;118,50;233,30;67
1920;6;108;113,00;120,50;232,20;67
1921;7;85;114,50;119,00;230,20;67
1922;8;197;111,50;121,00;227,90;67
1923;9;154;114,00;114,00;222,30;67
1924;10;226;111,50;116,00;221,40;67
1925;11;212;111,00;116,50;220,40;67
1926;12;65;111,00;115,50;219,60;67
1927;13;120;110,50;116,00;218,60;67
1928;14;131;110,50;117,00;216,90;67
1929;15;151;105,50;118,00;214,20;67
1930;16;93;105,50;116,50;212,50;67
1931;17;3;106,00;116,00;210,00;67
1932;18;115;108,50;112,00;205,80;67
1933;19;126;106,00;114,00;204,90;67
1934;20;223;105,00;113,00;203,30;67
1935;21;24;104,00;114,50;200,20;67
1936;22;160;106,50;110,50;198,50;67
1937;23;132;105,50;112,50;198,30;67
1938;24;200;104,50;111,50;197,20;67
1939;25;238;105,00;111,50;195,60;67
1940;26;244;105,50;108,50;193,10;67
1941;27;170;106,00;107,50;192,70;67
1942;28;109;105,00;108,50;190,20;67
1943;29;133;105,00;107,00;190,00;67
1944;1;136;129,50;132,00;289,60;68
1945;2;68;126,00;131,00;281,50;68
1946;3;111;128,00;124,00;271,50;68
1947;4;85;123,50;126,50;264,40;68
1948;5;77;122,50;122,50;256,40;68
1949;6;226;121,50;124,00;256,30;68
1950;7;151;121,50;120,50;253,00;68
1951;7;197;120,50;124,00;253,00;68
1952;9;131;122,00;123,00;251,90;68
1953;10;63;122,00;120,50;251,40;68
1954;11;5;120,50;121,50;249,50;68
1955;12;183;117,50;125,50;249,30;68
1956;13;154;119,50;120,50;245,40;68
1957;14;120;117,00;121,50;242,70;68
1958;15;132;120,00;119,50;241,00;68
1959;16;108;118,50;120,00;240,70;68
1960;17;93;117,50;118,00;238,80;68
1961;18;126;116,00;121,00;238,50;68
1962;19;3;116,50;119,00;237,80;68
1963;20;13;115,50;123,50;236,10;68
1964;21;133;117,00;117,00;234,60;68
1965;22;223;115,50;116,00;229,10;68
1966;23;22;115,00;117,00;226,50;68
1967;24;115;112,50;118,00;225,30;68
1968;25;170;115,50;115,00;222,30;68
1969;26;200;114,00;114,50;221,70;68
1970;27;212;114,00;115,50;221,50;68
1971;28;70;115,00;113,50;221,20;68
1972;29;65;112,50;113,50;218,20;68
1973;1;68;214,00;221,00;433,50;69
1974;2;136;224,50;209,50;432,30;69
1975;3;77;199,00;198,00;386,40;69
1976;4;63;208,00;189,00;384,40;69
1977;5;132;195,00;216,50;379,30;69
1978;6;151;187,00;203,50;378,60;69
1979;7;111;190,50;201,50;378,40;69
1980;8;226;191,00;194,50;369,10;69
1981;9;154;193,50;182,00;356,10;69
1982;10;55;177,00;194,50;353,80;69
1983;11;223;182,50;190,00;351,00;69
1984;12;5;189,50;180,50;349,50;69
1985;13;96;180,50;189,50;349,00;69
1986;14;183;183,00;185,00;346,10;69
1987;15;160;187,50;180,50;345,10;69
1988;16;13;197,00;171,50;343,70;69
1989;17;131;190,00;177,50;343,50;69
1990;18;212;164,00;203,00;342,90;69
1991;19;38;193,50;179,00;342,00;69
1992;19;133;183,00;182,00;342,00;69
1993;21;22;170,00;187,50;331,00;69
1994;22;70;175,50;172,00;318,00;69
1995;23;152;165,50;179,00;313,90;69
1996;24;139;183,50;157,50;309,20;69
1997;25;115;178,50;156,50;295,50;69
1998;26;228;167,50;162,50;293,50;69
1999;27;11;187,50;140,00;290,00;69
2000;28;34;192,00;133,00;287,00;69
2001;29;65;196,50;110,00;258,80;69
2002;1;68;231,00;224,00;450,50;70
2003;2;63;214,50;217,00;427,80;70
2004;3;151;209,00;213,50;419,00;70
2005;4;136;212,50;213,00;418,60;70
2006;5;132;218,50;211,00;417,90;70
2007;6;120;215,00;206,50;415,80;70
2008;7;108;204,50;213,50;412,60;70
2009;8;154;214,00;201,50;410,60;70
2010;9;131;214,50;201,00;405,60;70
2011;10;111;212,50;200,00;404,50;70
2012;11;133;207,50;205,00;404,00;70
2013;12;226;202,50;206,50;397,30;70
2014;13;55;202,00;199,00;391,20;70
2015;14;183;210,50;195,00;389,10;70
2016;15;77;212,00;187,50;385,40;70
2017;16;93;201,50;193,50;380,00;70
2018;17;3;188,50;203,50;375,40;70
2019;18;85;203,50;208,00;366,80;70
2020;19;236;195,50;188,00;366,20;70
2021;20;5;195,50;186,50;365,90;70
2022;21;13;194,50;189,50;357,80;70
2023;22;22;188,00;186,50;352,40;70
2024;23;160;190,00;184,00;351,80;70
2025;24;200;182,50;188,50;348,20;70
2026;25;170;174,50;181,50;329,70;70
2027;26;162;181,50;175,50;326,40;70
2028;27;21;160,50;191,00;321,80;70
2029;28;210;190,00;155,50;314,60;70
2030;29;114;204,00;110,00;269,30;70
2031;1;68;139,00;133,50;291,50;71
2032;2;136;132,00;134,00;277,30;71
2033;3;132;122,00;135,50;261,00;71
2034;4;85;131,00;124,50;257,40;71
2035;5;63;126,50;124,00;246,90;71
2036;6;57;121,00;127,00;244,90;71
2037;7;183;131,00;115,50;242,20;71
2038;8;244;124,00;123,00;241,10;71
2039;9;154;125,00;121,00;239,80;71
2040;10;133;133,50;111,00;238,60;71
2041;11;237;116,00;127,50;233,30;71
2042;12;108;130,50;110,00;228,40;71
2043;13;96;121,50;115,00;222,20;71
2044;14;114;116,50;120,50;221,10;71
2045;15;77;116,00;117,50;215,30;71
2046;16;13;115,50;119,00;214,60;71
2047;17;111;130,00;100,00;209,00;71
2048;18;115;110,00;123,00;207,90;71
2049;19;93;112,50;110,00;195,50;71
2050;20;197;112,50;111,00;193,80;71
2051;21;55;110,00;108,00;183,40;71
2052;22;123;113,00;104,00;181,60;71
2053;23;3;133,50;84,00;178,00;71
2054;24;120;107,50;104,00;163,20;71
2055;25;167;111,00;97,50;158,80;71
2056;26;226;105,00;100,00;155,50;71
2057;27;67;111,00;95,50;154,70;71
2058;28;142;104,00;102,00;154,30;71
2059;29;212;111,00;87,00;143,40;71
2060;30;236;108,00;62,00;90,90;71
2061;1;171;131,00;0,00;134,30;72
2062;2;136;129,50;0,00;133,10;72
2063;3;132;129,50;0,00;130,60;72
2064;4;133;126,00;0,00;124,80;72
2065;5;115;123,00;0,00;118,90;72
2066;6;3;122,50;0,00;118,50;72
2067;7;236;121,00;0,00;115,30;72
2068;8;63;119,00;0,00;113,20;72
2069;9;197;117,50;0,00;109,50;72
2070;10;237;116,00;0,00;106,80;72
2071;11;131;113,50;0,00;99,80;72
2072;12;203;113,50;0,00;97,80;72
2073;13;198;114,00;0,00;97,70;72
2074;14;5;111,00;0,00;95,80;72
2075;15;68;109,50;0,00;93,60;72
2076;16;55;109,00;0,00;93,20;72
2077;17;244;108,00;0,00;88,40;72
2078;18;108;107,00;0,00;88,10;72
2079;19;9;106,50;0,00;86,20;72
2080;20;67;106,50;0,00;85,70;72
2081;21;193;106,00;0,00;84,30;72
2082;22;50;106,00;0,00;83,80;72
2083;23;151;104,00;0,00;82,20;72
2084;24;226;104,50;0,00;81,60;72
2085;25;120;104,50;0,00;81,10;72
2086;26;24;103,50;0,00;80,80;72
2087;27;85;103,00;0,00;79,90;72
2088;28;93;101,50;0,00;77,20;72
2089;29;103;102,00;0,00;77,10;72
2090;30;170;102,50;0,00;76,50;72
2091;1;133;130,00;121,00;254,30;73
2092;2;3;129,00;121,50;249,90;73
2093;3;144;130,50;120,00;248,90;73
2094;4;63;124,50;124,50;248,20;73
2095;5;226;134,00;115,50;246,60;73
2096;6;77;129,00;119,00;246,40;73
2097;7;171;121,00;127,00;245,40;73
2098;8;132;125,50;122,50;243,90;73
2099;9;136;123,00;119,00;232,10;73
2100;10;111;124,50;114,50;226,70;73
2101;11;183;119,50;117,50;224,10;73
2102;12;24;127,00;110,00;222,10;73
2103;13;13;117,50;118,50;220,80;73
2104;14;85;122,00;112,50;219,10;73
2105;15;115;120,00;115,00;218,00;73
2106;16;212;121,50;112,50;216,70;73
2107;17;57;123,50;110,00;216,30;73
2108;18;11;125,50;108,00;215,80;73
2109;19;67;120,00;114,50;215,60;73
2110;20;200;121,00;112,00;215,40;73
2111;21;108;125,00;107,00;215,10;73
2112;22;123;122,00;110,00;213,10;73
2113;23;197;119,00;108,50;203,50;73
2114;24;244;114,50;111,00;199,90;73
2115;25;170;114,00;111,50;199,40;73
2116;26;36;116,00;108,50;198,10;73
2117;27;210;114,00;110,50;196,60;73
2118;28;151;112,00;101,50;177,80;73
2119;29;76;113,50;102,00;177,40;73
2120;30;120;116,00;97,00;175,40;73
2121;1;133;128,50;136,00;258,60;74
2122;2;3;128,50;134,50;251,40;74
2123;3;77;126,50;134,50;251,30;74
2124;4;171;127,00;137,50;251,10;74
2125;5;63;127,50;133,50;250,80;74
2126;6;183;124,00;131,50;236,90;74
2127;7;111;117,50;133,00;229,40;74
2128;8;226;118,00;131,00;225,20;74
2129;9;136;122,00;124,50;221,20;74
2130;10;108;119,50;124,50;218,70;74
2131;11;132;116,50;128,50;217,50;74
2132;12;68;118,00;126,50;216,60;74
2133;13;114;119,00;124,50;216,30;74
2134;14;67;122,50;121,50;215,70;74
2135;15;236;122,00;121,00;215,40;74
2136;16;244;123,00;130,00;213,90;74
2137;17;57;120,50;121,00;210,20;74
2138;18;116;122,00;119,00;209,30;74
2139;19;76;118,00;119,50;203,00;74
2140;20;144;115,50;119,50;198,00;74
2141;21;123;114,00;118,00;195,60;74
2142;22;237;113,50;118,50;194,10;74
2143;23;209;115,00;113,00;186,40;74
2144;24;160;114,50;115,00;185,60;74
2145;25;151;116,00;108,50;178,60;74
2146;26;200;115,50;109,50;178,50;74
2147;27;146;114,50;110,00;177,60;74
2148;28;115;116,00;109,00;176,00;74
2149;29;24;115,50;108,00;175,80;74
2150;30;11;116,50;106,50;174,40;74
2151;1;171;133,00;143,50;295,20;75
2152;2;154;132,50;129,00;272,70;75
2153;3;77;126,50;133,00;269,10;75
2154;4;226;128,50;132,00;267,90;75
2155;5;108;124,50;131,50;261,80;75
2156;6;13;133,50;123,50;261,60;75
2157;7;210;129,00;127,00;261,30;75
2158;8;85;124,50;132,00;260,20;75
2159;9;136;121,50;131,50;254,40;75
2160;9;133;125,50;127,50;254,40;75
2161;11;244;128,50;125,00;253,80;75
2162;12;111;124,50;128,00;252,00;75
2163;13;3;123,50;126,50;249,00;75
2164;14;5;123,50;127,00;248,90;75
2165;15;144;124,50;126,00;247,90;75
2166;16;115;122,00;127,00;245,70;75
2167;17;183;120,00;128,00;244,90;75
2168;18;63;123,50;124,50;242,90;75
2169;19;123;121,00;126,50;242,50;75
2170;20;114;126,50;119,00;239,90;75
2171;21;21;126,00;118,50;236,10;75
2172;22;76;121,00;121,00;231,10;75
2173;23;209;119,00;122,50;230,70;75
2174;24;70;123,50;117,50;230,30;75
2175;25;131;122,00;119,00;229,30;75
2176;26;236;120,00;117,50;222,00;75
2177;27;197;114,50;121,50;219,30;75
2178;28;237;117,00;118,00;218,50;75
2179;29;200;114,00;119,00;213,40;75
2180;30;87;120,50;111,50;212,10;75
2181;1;171;123,00;120,50;253,80;76
2182;2;77;118,50;121,00;253,10;76
2183;3;210;120,50;118,50;248,70;76
2184;4;3;120,00;120,00;248,50;76
2185;5;244;119,00;117,50;241,20;76
2186;6;108;116,00;117,50;239,80;76
2187;7;226;118,00;116,50;238,60;76
2188;8;154;115,50;116,00;233,70;76
2189;9;63;114,50;116,00;231,90;76
2190;10;132;115,50;115,50;230,80;76
2191;11;21;115,50;114,00;228,10;76
2192;12;144;114,50;114,00;227,30;76
2193;13;5;114,00;114,00;225,40;76
2194;14;133;114,50;111,50;223,30;76
2195;15;57;113,00;112,00;221,50;76
2196;15;123;112,50;112,50;221,50;76
2197;17;111;113,00;112,00;220,50;76
2198;18;13;110,50;114,00;219,60;76
2199;19;136;114,00;109,00;217,40;76
2200;19;183;114,00;109,00;217,40;76
2201;21;114;111,00;112,00;216,90;76
2202;22;197;114,50;108,00;215,00;76
2203;23;115;114,00;105,50;208,10;76
2204;24;85;116,50;105,00;206,20;76
2205;25;231;112,50;106,00;205,80;76
2206;26;68;113,50;106,50;205,50;76
2207;27;170;110,00;107,00;204,60;76
2208;28;181;110,00;105,50;200,40;76
2209;29;70;109,00;106,00;199,00;76
2210;30;236;108,00;100,50;185,80;76
2211;1;244;128,00;128,50;265,20;77
2212;2;132;126,50;124,00;253,90;77
2213;3;3;132,50;121,00;253,80;77
2214;4;171;131,00;120,00;251,80;77
2215;5;77;131,50;117,50;251,70;77
2216;6;108;127,00;120,50;249,50;77
2217;7;154;128,50;118,50;247,60;77
2218;8;21;130,00;116,50;245,70;77
2219;9;63;128,00;117,50;244,40;77
2220;10;210;127,50;117,00;242,60;77
2221;11;226;125,50;119,50;242,00;77
2222;12;71;124,50;119,00;237,30;77
2223;13;144;127,50;115,00;236,00;77
2224;14;183;121,00;119,00;234,50;77
2225;15;135;119,00;120,00;233,20;77
2226;16;85;120,50;120,50;232,80;77
2227;17;13;125,00;115,50;232,40;77
2228;18;68;118,00;122,00;232,00;77
2229;19;133;122,50;116,50;231,70;77
2230;20;197;120,00;117,00;228,10;77
2231;21;170;125,00;113,00;227,90;77
2232;22;131;117,50;117,50;222,00;77
2233;23;11;122,00;113,00;221,50;77
2234;24;236;118,00;116,00;220,20;77
2235;25;136;115,00;118,00;218,40;77
2236;26;209;119,00;113,50;218,00;77
2237;27;5;117,00;115,50;217,50;77
2238;28;57;116,50;115,00;217,20;77
2239;29;111;114,50;116,50;213,80;77
2240;30;24;116,50;111,00;207,00;77
2241;1;171;132,50;133,50;265,80;78
2242;2;244;134,00;131,50;263,40;78
2243;3;3;131,50;132,00;261,30;78
2244;4;154;138,00;125,00;258,90;78
2245;5;77;130,50;131,50;257,60;78
2246;6;210;131,50;130,00;257,20;78
2247;7;132;133,00;129,00;256,10;78
2248;8;68;134,50;124,50;251,70;78
2249;9;226;130,50;128,50;250,20;78
2250;10;133;124,00;133,00;247,10;78
2251;11;108;126,50;129,00;245,40;78
2252;12;57;129,50;125,00;244,10;78
2253;13;21;127,00;127,00;242,70;78
2254;14;144;126,50;125,50;237,60;78
2255;15;197;125,50;126,00;236,70;78
2256;15;183;126,00;125,50;236,70;78
2257;17;5;123,00;125,00;231,40;78
2258;18;236;126,00;123,00;230,70;78
2259;19;123;123,00;123,50;228,20;78
2260;20;136;123,00;120,00;218,40;78
2261;21;135;121,50;119,00;216,40;78
2262;22;63;122,00;119,50;216,20;78
2263;23;87;121,50;119,00;213,90;78
2264;24;200;121,00;118,50;212,60;78
2265;25;115;122,00;116,50;209,80;78
2266;26;11;120,00;117,00;207,60;78
2267;27;212;117,50;115,00;198,00;78
2268;28;76;118,50;113,50;197,10;78
2269;28;67;120,00;112,00;197,10;78
2270;30;237;117,00;108,50;182,90;78
2271;1;3;127,00;0,00;128,60;79
2272;2;154;126,00;0,00;127,30;79
2273;3;77;122,50;0,00;121,50;79
2274;4;5;126,50;0,00;121,20;79
2275;5;123;123,50;0,00;120,80;79
2276;6;57;122,00;0,00;116,60;79
2277;7;70;125,50;0,00;116,40;79
2278;8;244;121,00;0,00;115,80;79
2279;9;93;119,50;0,00;114,60;79
2280;10;13;120,00;0,00;114,00;79
2281;11;135;119,00;0,00;113,70;79
2282;12;133;117,50;0,00;110,50;79
2283;13;21;119,00;0,00;109,20;79
2284;14;226;117,00;0,00;107,60;79
2285;15;111;119,00;0,00;106,20;79
2286;16;209;115,50;0,00;105,90;79
2287;17;114;113,00;0,00;99,90;79
2288;18;187;110,00;0,00;95,50;79
2289;19;139;109,50;0,00;94,60;79
2290;20;34;110,00;0,00;93,50;79
2291;21;172;109,50;0,00;92,60;79
2292;22;10;107,50;0,00;91,50;79
2293;23;200;108,00;0,00;90,40;79
2294;24;218;108,00;0,00;88,90;79
2295;25;160;107,00;0,00;87,60;79
2296;26;11;106,50;0,00;86,20;79
2297;27;221;106,50;0,00;85,20;79
2298;28;243;104,00;0,00;81,70;79
2299;29;50;101,50;0,00;77,20;79
2300;30;132;102,50;0,00;76,50;79
2301;1;3;139,00;0,00;147,20;80
2302;2;183;136,00;0,00;145,30;80
2303;3;123;134,00;0,00;143,20;80
2304;4;154;133,50;0,00;142,80;80
2305;5;132;132,50;0,00;139,50;80
2306;6;57;133,00;0,00;135,40;80
2307;7;209;130,00;0,00;135,00;80
2308;8;244;130,00;0,00;132,50;80
2309;9;77;128,00;0,00;132,40;80
2310;10;68;129,00;0,00;132,20;80
2311;11;181;127,50;0,00;129,00;80
2312;12;70;127,50;0,00;128,00;80
2313;13;226;126,50;0,00;126,20;80
2314;14;34;126,00;0,00;125,30;80
2315;15;133;124,00;0,00;123,70;80
2316;16;42;122,50;0,00;118,00;80
2317;17;13;122,00;0,00;117,60;80
2318;18;114;121,00;0,00;117,30;80
2319;19;21;121,00;0,00;115,80;80
2320;20;139;118,50;0,00;111,80;80
2321;21;160;118,00;0,00;110,40;80
2322;22;135;117,00;0,00;110,10;80
2323;23;207;117,50;0,00;109,50;80
2324;24;24;117,00;0,00;108,60;80
2325;25;93;118,00;0,00;108,40;80
2326;26;11;117,00;0,00;108,10;80
2327;27;31;117,50;0,00;108,00;80
2328;28;187;116,50;0,00;107,70;80
2329;29;85;116,00;0,00;105,80;80
2330;30;186;116,00;0,00;105,30;80
2331;1;226;134,00;126,50;270,90;81
2332;2;136;132,00;127,00;267,20;81
2333;3;183;129,50;120,00;251,60;81
2334;4;154;128,00;119,50;245,50;81
2335;5;77;120,50;125,00;244,40;81
2336;6;3;125,00;120,00;242,00;81
2337;7;114;120,50;122,50;235,90;81
2338;7;68;128,50;114,50;235,90;81
2339;9;133;120,00;121,00;234,80;81
2340;10;244;119,50;122,00;233,70;81
2341;11;171;122,00;119,00;232,80;81
2342;12;21;116,00;123,00;227,70;81
2343;12;210;123,00;116,00;227,70;81
2344;14;209;120,00;117,50;226,00;81
2345;15;13;117,00;121,00;223,90;81
2346;16;197;121,50;115,00;221,70;81
2347;17;115;123,00;112,50;220,40;81
2348;18;57;120,00;114,50;219,60;81
2349;19;11;117,00;118,50;219,40;81
2350;20;200;117,50;117,00;218,10;81
2351;20;76;119,00;115,50;218,10;81
2352;22;187;119,00;114,50;217,80;81
2353;23;135;116,00;116,50;213,00;81
2354;24;9;117,00;114,00;210,80;81
2355;25;70;121,00;110,50;210,20;81
2356;26;31;116,50;113,50;210,00;81
2357;27;207;116,50;114,00;207,40;81
2358;28;160;118,00;111,00;205,70;81
2359;29;218;117,00;109,50;201,70;81
2360;30;63;121,00;105,00;195,80;81
2361;1;77;127,00;122,50;252,60;82
2362;2;136;125,50;125,50;252,30;82
2363;3;133;128,00;122,00;251,50;82
2364;4;210;124,50;122,50;245,60;82
2365;5;114;122,00;120,50;236,00;82
2366;6;57;120,50;122,00;234,00;82
2367;7;85;130,00;114,50;232,60;82
2368;7;115;124,50;117,50;232,60;82
2369;9;171;121,50;121,00;232,50;82
2370;9;154;123,00;117,00;232,50;82
2371;11;68;120,50;119,50;231,00;82
2372;12;3;116,50;122,50;230,20;82
2373;13;209;128,00;111,50;230,10;82
2374;14;13;127,50;115,00;227,50;82
2375;15;186;124,00;115,00;226,70;82
2376;16;183;120,50;115,00;224,40;82
2377;16;226;127,50;110,50;224,40;82
2378;16;11;122,50;115,50;224,40;82
2379;19;21;123,50;114,00;223,50;82
2380;20;170;119,50;118,50;223,40;82
2381;21;76;117,50;119,50;222,60;82
2382;22;70;119,50;118,00;221,50;82
2383;23;111;119,00;117,00;219,80;82
2384;24;144;120,50;114,50;218,50;82
2385;25;31;119,50;114,50;217,70;82
2386;26;132;119,00;116,00;217,50;82
2387;27;160;117,00;115,00;212,10;82
2388;28;244;127,00;102,50;207,60;82
2389;29;197;125,00;103,50;207,30;82
2390;30;236;119,00;108,00;203,60;82
2391;1;68;122,50;128,50;251,80;83
2392;2;3;116,00;133,50;240,60;83
2393;3;183;117,00;128,00;238,00;83
2394;4;21;113,50;125,00;226,30;83
2395;5;154;109,00;127,00;220,80;83
2396;6;187;112,00;120,50;214,00;83
2397;7;133;103,00;128,50;212,70;83
2398;8;132;110,00;122,50;212,50;83
2399;9;88;106,50;117,50;196,20;83
2400;10;115;103,00;119,50;192,50;83
2401;11;209;103,00;115,00;184,40;83
2402;12;171;102,00;113,00;178,00;83
2403;13;244;101,00;113,00;175,70;83
2404;14;200;100,50;111,00;170,20;83
2405;15;135;94,50;113,50;164,40;83
2406;16;5;100,50;106,50;164,10;83
2407;17;42;99,50;103,50;152,90;83
2408;18;55;98,50;103,00;152,70;83
2409;19;123;94,00;107,00;151,30;83
2410;20;160;102,50;95,50;143,90;83
2411;21;223;95,50;101,50;142,10;83
2412;22;181;94,00;103,50;142,00;83
2413;23;197;93,50;103,00;140,20;83
2414;24;24;96,50;95,50;132,10;83
2415;25;34;94,00;98,50;131,50;83
2416;26;96;95,00;96,00;130,30;83
2417;27;11;101,50;91,00;130,00;83
2418;28;212;95,50;94,00;126,10;83
2419;29;226;102,00;82,00;111,70;83
2420;30;151;94,00;77,00;87,30;83
2421;1;133;132,00;133,50;281,40;84
2422;2;3;135,50;129,00;279,10;84
2423;3;77;130,50;126,50;265,60;84
2424;4;85;128,00;127,00;258,50;84
2425;5;68;132,50;121,50;256,20;84
2426;6;197;123,50;126,50;247,50;84
2427;7;71;124,50;123,50;245,90;84
2428;8;108;127,00;120,00;245,60;84
2429;9;212;125,00;121,50;241,20;84
2430;10;171;130,00;116,00;240,30;84
2431;11;115;129,00;115,00;236,70;84
2432;12;136;117,00;126,50;235,80;84
2433;13;183;120,00;122,00;234,10;84
2434;14;226;112,50;130,50;233,40;84
2435;15;151;126,00;111,00;225,10;84
2436;16;132;128,00;108,50;221,70;84
2437;17;154;118,00;116,00;218,70;84
2438;18;88;127,00;106,50;216,30;84
2439;19;114;119,00;112,50;213,20;84
2440;20;55;116,50;114,50;211,80;84
2441;21;5;116,50;113,00;207,10;84
2442;22;181;110,50;119,00;205,10;84
2443;23;207;117,50;109,00;201,70;84
2444;24;34;121,50;107,00;200,30;84
2445;25;244;113,00;112,00;199,50;84
2446;26;57;112,00;109,50;191,70;84
2447;27;42;115,00;106,00;188,80;84
2448;28;160;110,00;103,50;171,30;84
2449;29;9;119,00;86,50;155,40;84
2450;30;111;111,50;90,50;147,10;84
2451;1;133;122,50;133,50;263,30;85
2452;2;108;125,50;127,50;260,40;85
2453;3;171;128,00;125,00;256,90;85
2454;3;3;124,50;128,50;256,90;85
2455;5;71;127,50;124,50;256,10;85
2456;6;154;123,00;129,00;254,60;85
2457;7;68;122,50;125,00;245,50;85
2458;8;77;124,00;121,50;243,90;85
2459;9;197;125,50;121,00;243,70;85
2460;10;115;120,00;122,00;234,60;85
2461;11;136;124,50;117,50;232,10;85
2462;12;123;116,50;123,00;231,10;85
2463;13;244;114,50;125,00;228,60;85
2464;14;212;123,50;112,50;222,30;85
2465;15;85;119,00;117,00;221,30;85
2466;16;144;114,50;121,00;220,40;85
2467;17;219;121,00;114,00;220,00;85
2468;18;88;122,00;111,50;216,80;85
2469;19;209;114,50;117,00;213,70;85
2470;20;42;124,00;108,00;212,60;85
2471;21;135;115,50;113,50;209,20;85
2472;22;200;114,50;114,00;207,30;85
2473;23;210;125,00;105,00;205,00;85
2474;24;34;115,50;110,50;199,80;85
2475;25;223;114,00;108,50;195,00;85
2476;26;5;112,50;109,00;193,70;85
2477;27;55;112,50;108,50;193,30;85
2478;28;57;115,00;104,50;189,60;85
2479;29;181;118,50;100,50;186,70;85
2480;30;237;115,00;101,50;183,70;85
2481;1;133;223,00;201,50;413,90;86
2482;2;3;213,50;198,00;402,80;86
2483;3;108;210,50;197,50;401,60;86
2484;4;210;206,50;197,00;394,70;86
2485;5;68;192,50;216,50;393,80;86
2486;6;5;207,50;196,50;392,80;86
2487;7;85;202,00;194,00;383,70;86
2488;8;236;202,50;193,00;382,10;86
2489;9;120;192,00;199,50;376,30;86
2490;10;144;189,00;199,50;370,70;86
2491;11;197;198,00;187,50;370,10;86
2492;12;226;193,50;190,50;367,30;86
2493;13;114;192,50;188,00;364,10;86
2494;14;132;185,50;201,50;363,90;86
2495;15;88;184,50;195,50;361,50;86
2496;16;76;189,50;188,50;360,10;86
2497;17;13;186,50;190,00;358,80;86
2498;18;24;184,50;189,00;353,70;86
2499;19;131;184,00;191,50;353,60;86
2500;20;42;184,00;191,00;353,00;86
2501;21;183;184,50;189,00;352,20;86
2502;22;136;179,50;194,00;351,70;86
2503;23;57;183,00;187,50;349,10;86
2504;24;123;186,00;176,50;341,00;86
2505;25;244;185,00;182,00;340,90;86
2506;26;192;171,00;193,50;339,90;86
2507;27;77;184,50;175,50;337,50;86
2508;28;209;185,00;169,50;330,90;86
2509;29;115;165,00;191,00;323,20;86
2510;1;3;132,50;133,50;242,80;87
2511;2;210;126,50;132,50;231,20;87
2512;3;133;126,00;132,50;230,80;87
2513;4;135;129,50;129,00;228,80;87
2514;5;71;125,50;131,50;226,10;87
2515;6;68;126,50;129,50;225,30;87
2516;7;70;127,50;129,00;222,70;87
2517;8;24;126,00;129,50;221,90;87
2518;9;85;129,00;126,00;221,50;87
2519;10;111;123,50;131,00;221,10;87
2520;11;77;126,00;126,50;219,50;87
2521;12;154;127,50;125,50;216,90;87
2522;13;131;128,00;125,00;216,40;87
2523;14;226;126,50;126,00;215,00;87
2524;15;108;125,50;125,00;213,40;87
2525;16;76;122,00;128,50;211,40;87
2526;17;42;128,00;123,50;208,20;87
2527;18;183;122,00;126,00;207,40;87
2528;19;136;118,50;128,50;206,10;87
2529;20;244;121,50;125,00;205,70;87
2530;21;67;121,00;125,50;204,20;87
2531;22;57;121,50;122,00;198,80;87
2532;23;212;120,50;124,50;198,50;87
2533;24;197;118,00;127,00;198,00;87
2534;25;123;120,50;123,50;196,20;87
2535;26;87;119,50;123,00;195,00;87
2536;27;207;120,00;120,00;188,00;87
2537;28;6;119,00;119,50;186,80;87
2538;29;156;121,50;117,00;186,30;87
2539;30;181;121,00;115,50;184,20;87
2540;1;108;120,50;122,50;235,90;88
2541;2;5;118,00;125,00;234,90;88
2542;3;85;119,00;124,00;233,90;88
2543;4;133;112,50;127,50;228,00;88
2544;5;13;117,00;118,50;220,90;88
2545;6;154;115,00;120,00;218,00;88
2546;7;151;112,50;121,00;217,30;88
2547;8;171;108,50;124,50;212,90;88
2548;9;71;114,00;119,50;211,30;88
2549;10;226;109,50;121,00;209,90;88
2550;11;21;113,50;118,00;209,70;88
2551;12;183;113,50;115,50;208,20;88
2552;13;77;108,00;121,50;208,10;88
2553;14;3;110,50;118,00;205,80;88
2554;15;244;107,50;120,00;204,50;88
2555;16;68;107,00;118,50;199,40;88
2556;17;209;109,50;115,50;199,00;88
2557;18;200;112,50;113,50;198,80;88
2558;19;114;107,50;117,50;197,00;88
2559;20;123;113,50;110,50;196,20;88
2560;21;170;110,00;116,50;195,70;88
2561;21;135;114,50;109,50;195,70;88
2562;23;88;109,50;115,50;195,00;88
2563;24;31;111,00;111,00;190,10;88
2564;25;212;109,00;112,50;189,20;88
2565;26;146;109,00;109,00;184,40;88
2566;27;70;109,50;109,00;183,80;88
2567;28;42;109,00;111,50;181,90;88
2568;29;197;107,50;110,00;181,50;88
2569;30;11;111,00;105,00;178,30;88
2570;1;183;125,50;126,00;269,10;89
2571;2;133;126,00;122,50;265,70;89
2572;3;3;126,00;123,00;265,60;89
2573;4;85;125,50;119,50;256,90;89
2574;5;210;122,00;122,00;253,10;89
2575;6;70;122,00;121,50;251,70;89
2576;7;111;119,00;123,50;251,40;89
2577;8;5;120,00;122,50;250,90;89
2578;9;108;123,00;118,00;250,70;89
2579;10;68;119,00;122,00;248,20;89
2580;11;171;119,00;122,00;247,70;89
